audio_path,emotion_id,pn,round,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,rmse,pitch,mean_pressure,max_pressure,pressure_variance,center_of_pressure_x,center_of_pressure_y,pressure_gradient,median_force,iqr_force,touch_duration,contact_area,min_force,rate_of_pressure_change,pressure_std,num_touches,max_touch_duration,min_touch_duration,mean_duration,arousal_class,valence_class,quadrant
D:/Data_collection_results\1\wav_clip\_Happiness_Round_2.wav,7,1,2,-547.842529296875,63.12044906616211,24.852210998535156,19.838586807250977,11.822671890258789,16.892086029052734,14.795181274414062,14.677069664001465,0.3781263828277588,9.991387367248535,1.4277421236038208,10.061179161071777,-0.50453120470047,6906.452582349232,6519.239078193342,0.10999186575551044,0.002186845988035202,3.0575647354125977,0.0184,43.25581395348837,2.452059240670633,266.7961664329126,10.830294530154278,0.37361172318084385,0.0,0.0,450.0,207.0,0.0,0.24563111824726785,1.5659052463896508,22.0,7.0,1.0,2.9545454545454546,1,1,1
D:/Data_collection_results\1\wav_clip\_Happiness_Round_3.wav,7,1,3,-545.4429321289062,61.715599060058594,23.155208587646484,16.298133850097656,9.841222763061523,16.871612548828125,15.69820785522461,14.938257217407227,-1.4570814371109009,8.946478843688965,0.6543161273002625,9.540902137756348,-1.669206976890564,7156.329866327949,6489.494860152208,0.12723861658932714,0.0018505228217691183,6.3923258781433105,0.0688,58.604651162790695,12.766198169821527,248.66516685414325,15.192725909261343,1.104300051119516,0.0,0.0,450.0,774.0,0.0,0.4751022945045839,3.5729816917837023,22.0,21.0,2.0,7.909090909090909,1,1,1
D:/Data_collection_results\1\wav_clip\_Sadness_Round_1.wav,8,1,1,-565.6621704101562,63.496665954589844,22.708120346069336,22.766521453857422,13.82874584197998,17.650911331176758,14.728306770324707,15.80732250213623,5.346559047698975,11.477383613586426,3.8856000900268555,11.38217544555664,2.052013635635376,6305.493453206088,6499.6548074370685,0.09417030706206496,0.001505813910625875,2.3536760807037354,0.07777777777777778,41.86046511627907,17.204406835166157,238.71475475077108,11.446920704407521,1.4097055632868956,0.0,0.0,450.0,875.0,0.0,0.492008079970995,4.147819527796039,8.0,66.0,1.0,32.5,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Sadness_Round_2.wav,8,1,2,-571.6746826171875,61.03804016113281,19.8700008392334,19.753849029541016,10.748636245727539,16.259769439697266,13.184611320495605,13.908035278320312,5.18953275680542,9.411975860595703,2.2823729515075684,10.054044723510742,2.924781560897827,6815.809700735554,6557.118969955877,0.113032577762471,0.0010088742710649967,2.754159450531006,0.06844444444444445,65.5813953488372,14.238493075175771,324.5882068046979,11.909916454776607,0.9790383436495355,0.0,0.0,450.0,770.0,0.0,0.29734293261511374,3.773392780400123,14.0,77.0,1.0,11.928571428571429,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Sadness_Round_3.wav,8,1,3,-563.8128662109375,66.13025665283203,18.254817962646484,13.646371841430664,6.345968246459961,14.753024101257324,14.61121940612793,15.667567253112793,3.601097345352173,8.04599666595459,2.244590997695923,10.12613296508789,1.8233916759490967,6750.853836720092,6514.434162179395,0.1253562980350928,0.0010228973114863038,7.43364953994751,0.07875555555555555,64.18604651162791,14.429808962442161,286.1627108372892,13.08918291081709,1.123726513873531,0.0,0.0,450.0,886.0,0.0,0.3694411353395143,3.7986588373322183,7.0,54.0,1.0,28.714285714285715,-1,-1,3
D:/Data_collection_results\1\wav_clip\_Surprise_Round_1.wav,9,1,1,-555.9706420898438,61.70106887817383,20.73194694519043,18.51029396057129,10.757725715637207,15.091754913330078,13.652036666870117,12.841912269592285,2.3498542308807373,8.83508586883545,2.751863718032837,9.46351146697998,1.4050089120864868,6883.221804783031,6483.507888896617,0.13096813370069604,0.002493489533662796,7.221770763397217,0.05937777777777778,47.44186046511628,14.942815055825973,285.3503775334482,14.405749105841837,0.627693427912264,0.0,0.0,450.0,668.0,0.0,0.24227482260320096,3.865593752041977,6.0,29.0,1.0,11.5,1,1,1
D:/Data_collection_results\1\wav_clip\_Surprise_Round_2.wav,9,1,2,-559.8967895507812,62.43312072753906,20.729942321777344,19.21257781982422,10.299164772033691,15.61410140991211,13.298002243041992,13.655095100402832,2.853440284729004,8.876906394958496,2.5022382736206055,9.530556678771973,1.7872419357299805,6846.106969477167,6483.008230319477,0.12085357453596288,0.002051354618743062,4.954325199127197,0.014755555555555555,65.5813953488372,4.597531398353464,283.1373684210526,8.14421052631579,0.2560274265493173,0.0,0.0,450.0,166.0,0.0,0.18484487491583362,2.1441854859954312,6.0,9.0,1.0,5.166666666666667,1,1,1
D:/Data_collection_results\1\wav_clip\_Surprise_Round_3.wav,9,1,3,-561.0697021484375,64.05766296386719,18.372995376586914,15.177451133728027,7.182438850402832,15.182732582092285,14.177300453186035,14.465017318725586,2.7208542823791504,6.880967140197754,0.6813169121742249,8.784625053405762,1.7135200500488281,6892.463851142774,6488.030745554715,0.1398903123187355,0.0016831010580062866,9.917445182800293,0.05697777777777778,53.02325581395349,17.391174872663907,169.25418352838236,12.80115935688505,0.8721787172944708,0.0,0.0,450.0,641.0,0.0,0.36335008028176313,4.170272757585996,5.0,26.0,5.0,15.0,1,1,1
D:/Data_collection_results\10\wav_clip\_Anger_Round_1.wav,0,10,1,-575.4213256835938,50.34930419921875,14.864373207092285,14.014100074768066,6.1852240562438965,10.00140380859375,7.593912124633789,10.007545471191406,0.3984546959400177,7.001747131347656,1.1113561391830444,7.08004093170166,0.15718096494674683,7949.514802658988,6503.164234086352,0.22743483541183296,0.0006959056481719017,30.793285369873047,0.34755555555555556,120.0,724.9337722371188,167.63096371239428,8.918676406104618,13.216110532227955,0.0,18.181818181818183,450.0,3910.0,0.0,0.8821218870216642,26.92459418890318,4.0,177.0,5.0,98.25,1,-1,2
D:/Data_collection_results\10\wav_clip\_Anger_Round_2.wav,0,10,2,-571.7938232421875,53.18617248535156,17.23593521118164,15.810815811157227,7.275406360626221,11.145350456237793,8.761492729187012,10.867233276367188,1.3793076276779175,7.488314151763916,1.4944255352020264,7.4797186851501465,-0.3104473352432251,7703.598065459243,6520.875802157458,0.19895591647331787,0.0009214150486513972,24.31452178955078,0.1776888888888889,90.9090909090909,121.23735660606062,229.52358471031596,12.867851078808961,3.390580005602724,0.0,1.8181818181818183,450.0,1999.0,0.0,0.8296416278598908,11.01078365086067,14.0,29.0,4.0,12.5,1,-1,2
